Elements,P - Total P [mgP/L],P - Soluble PO4-P [mgP/L],pH [],COD - Total [mg/L],N - Total Kjeldahl Nitrogen [mgN/L],Total suspended solids [mg/L],FeCl3(L/d),NaOH(L/d)
Effluent,4.96,2.14,6.96,56.33,3.07,54.82,944,1600
Effluent,4.58,1.72,5.72,56.33,3.07,44.98,680,589
Effluent,6.23,3.56,3.3,56.33,3.07,55.79,979,1006
Effluent,14.96,13.28,2.64,56.33,3.07,47.62,841,357
Effluent,24.56,23.96,9.62,56.33,3.07,35.91,626,1616
Effluent,9.96,7.71,7.54,56.33,3.07,34.29,447,759
Effluent,4.0,1.08,5.2,56.33,3.07,56.44,978,1143
Effluent,23.06,22.28,2.21,56.33,3.07,54.21,1087,7
Effluent,10.08,7.85,7.46,56.33,3.07,32.7,406,661
Effluent,6.95,4.36,7.46,56.33,3.07,50.53,849,1553
Effluent,6.47,3.82,3.43,56.33,3.07,45.66,714,482
Effluent,16.33,14.8,2.56,56.33,3.07,48.48,876,341
Effluent,5.78,3.06,6.83,56.33,3.07,41.65,603,842
Effluent,16.98,15.52,2.54,56.33,3.07,47.27,850,249
Effluent,5.66,2.92,6.92,56.33,3.07,44.0,664,1002
Effluent,11.33,9.23,2.79,56.33,3.07,60.26,1141,1119
Effluent,4.33,1.45,6.53,56.33,3.07,55.83,965,1467
Effluent,22.13,21.25,2.27,56.33,3.07,57.84,1174,367
Effluent,6.51,3.87,7.37,56.33,3.07,50.8,852,1537
Effluent,18.66,17.38,8.54,56.33,3.07,45.09,814,1748
Effluent,24.36,23.73,9.2,56.33,3.07,38.44,691,1644
Effluent,9.3,6.98,3.01,56.33,3.07,47.9,798,537
Effluent,11.16,9.05,2.81,56.33,3.07,58.15,1084,1014
Effluent,10.33,8.12,2.91,56.33,3.07,49.34,845,586
Effluent,4.5,1.64,5.73,56.33,3.07,45.95,705,645
Effluent,3.85,0.92,5.15,56.33,3.07,63.44,1162,1524
Effluent,5.86,3.15,3.45,56.33,3.07,50.94,848,763
Effluent,4.64,1.79,6.41,56.33,3.07,47.57,749,959
Effluent,5.12,2.33,3.47,56.33,3.07,63.16,1164,1425
Effluent,19.57,18.4,2.4,56.33,3.07,55.79,1097,523
Effluent,6.99,4.41,7.32,56.33,3.07,43.83,672,1154
Effluent,24.6,23.99,10.3,56.33,3.07,29.03,444,1540
Effluent,5.03,2.22,6.21,56.33,3.07,42.03,606,580
Effluent,16.9,15.43,2.53,56.33,3.07,53.01,1000,542
Effluent,11.84,9.8,2.79,56.33,3.07,53.17,959,740
Effluent,6.25,3.58,3.49,56.33,3.07,45.43,706,475
Effluent,4.74,1.91,6.88,56.33,3.07,56.14,977,1638
Effluent,13.53,11.68,7.97,56.33,3.07,31.52,407,777
Effluent,4.11,1.2,5.95,56.33,3.07,54.4,925,1158
Effluent,7.65,5.14,7.49,56.33,3.07,45.0,709,1273
Effluent,3.92,0.99,5.07,56.33,3.07,60.32,1080,1347
Effluent,24.58,23.98,9.8,56.33,3.07,30.43,481,1376
Effluent,24.59,23.98,9.89,56.33,3.07,34.35,585,1632
Effluent,19.48,18.29,2.4,56.33,3.07,57.15,1132,600
Effluent,4.41,1.54,6.24,56.33,3.07,49.65,802,1000
Effluent,15.87,14.29,8.29,56.33,3.07,34.66,512,1056
Effluent,4.06,1.15,6.06,56.33,3.07,56.91,991,1331
Effluent,13.14,11.24,2.8,56.33,3.07,39.3,606,23
Effluent,4.62,1.77,3.81,56.33,3.07,57.32,1006,1133
Effluent,8.83,6.45,7.78,56.33,3.07,51.76,899,1728
Effluent,17.09,15.64,2.54,56.33,3.07,44.61,781,112
Effluent,24.56,23.95,9.62,56.33,3.07,28.4,427,1193
Effluent,5.98,3.28,7.19,56.33,3.07,48.49,786,1349
Effluent,10.77,8.61,2.82,56.33,3.07,61.43,1167,1195
Effluent,4.99,2.18,3.61,56.33,3.07,56.91,998,1098
Effluent,19.41,18.22,2.4,56.33,3.07,59.58,1195,730
Effluent,21.16,20.16,2.32,56.33,3.07,55.82,1112,384
Effluent,16.07,14.5,2.6,56.33,3.07,42.44,715,57
Effluent,14.29,12.53,8.13,56.33,3.07,33.86,476,946
Effluent,9.96,7.71,7.72,56.33,3.07,39.05,573,1051
Effluent,21.82,20.9,2.29,56.33,3.07,55.32,1105,280
Effluent,4.33,1.45,6.08,56.33,3.07,49.98,810,958
Effluent,8.65,6.25,7.36,56.33,3.07,35.88,477,772
Effluent,22.75,21.94,2.23,56.33,3.07,53.67,1070,46
Effluent,4.21,1.31,5.03,56.33,3.07,51.5,849,861
Effluent,18.17,16.84,2.49,56.33,3.07,44.23,781,33
Effluent,5.91,3.21,6.74,56.33,3.07,39.72,553,700
Effluent,24.58,23.97,9.71,56.33,3.07,34.36,585,1562
Effluent,4.22,1.32,6.04,56.33,3.07,52.1,865,1059
Effluent,3.87,0.94,5.96,56.33,3.07,64.57,1192,1720
Effluent,11.94,9.92,2.83,56.33,3.07,45.3,753,344
Effluent,19.54,18.36,2.4,56.33,3.07,58.43,1166,661
Effluent,5.24,2.46,3.44,56.33,3.07,62.52,1148,1387
Effluent,3.88,0.94,5.88,56.33,3.07,63.51,1164,1640
Effluent,5.18,2.39,5.48,56.33,3.07,39.71,546,272
Effluent,5.59,2.85,6.81,56.33,3.07,42.74,630,888
Effluent,8.94,6.57,2.98,56.33,3.07,54.67,973,889
Effluent,23.41,22.67,2.17,56.33,3.07,57.33,1172,72
Effluent,6.36,3.71,6.39,56.33,3.07,35.67,450,335
Effluent,5.57,2.83,6.72,56.33,3.07,41.69,602,792
Effluent,20.32,19.24,2.37,56.33,3.07,51.95,1003,266
Effluent,15.59,13.97,2.63,56.33,3.07,42.83,721,97
Effluent,10.9,8.75,2.96,56.33,3.07,40.14,608,125
Effluent,24.6,23.99,10.51,56.33,3.07,30.42,481,1728
Effluent,19.1,17.87,2.44,56.33,3.07,46.81,857,101
Effluent,22.21,21.33,8.74,56.33,3.07,36.17,611,1388
Effluent,11.99,9.96,2.82,56.33,3.07,45.59,761,357
Effluent,3.95,1.02,5.97,56.33,3.07,60.57,1087,1504
Effluent,22.42,21.57,2.25,56.33,3.07,58.32,1189,346
Effluent,5.56,2.81,5.15,56.33,3.07,37.88,501,148
Effluent,16.96,15.49,2.53,56.33,3.07,48.34,878,304
Effluent,8.25,5.81,3.02,56.33,3.07,58.32,1063,1093
Effluent,4.31,1.42,6.56,56.33,3.07,57.35,1005,1564
Effluent,7.43,4.9,7.41,56.33,3.07,43.37,664,1160
Effluent,20.99,19.98,2.34,56.33,3.07,48.82,927,44
Effluent,19.82,18.68,2.38,56.33,3.07,57.53,1145,593
Effluent,6.06,3.37,6.5,56.33,3.07,37.32,491,468
Effluent,4.34,1.46,6.66,56.33,3.07,59.3,1057,1717
Effluent,5.02,2.21,6.05,56.33,3.07,41.54,593,497
Effluent,19.0,17.77,8.53,56.33,3.07,35.34,559,1216
Effluent,24.6,23.99,10.18,56.33,3.07,28.35,426,1437
Effluent,11.26,9.16,2.83,56.33,3.07,51.04,898,648
Effluent,15.85,14.26,2.56,56.33,3.07,57.74,1115,833
Effluent,4.31,1.43,6.19,56.33,3.07,51.12,840,1060
Effluent,5.59,2.85,6.23,56.33,3.07,38.47,517,405
Effluent,7.58,5.07,6.83,56.33,3.07,33.77,411,455
Effluent,14.55,12.82,2.64,56.33,3.07,52.25,959,605
Effluent,6.11,3.43,3.43,56.33,3.07,48.92,797,654
Effluent,5.64,2.91,7.14,56.33,3.07,50.95,848,1463
Effluent,6.29,3.63,6.46,56.33,3.07,36.18,463,392
Effluent,5.85,3.13,6.18,56.33,3.07,37.13,484,320
Effluent,4.99,2.18,6.51,56.33,3.07,44.46,670,842
Effluent,13.71,11.88,2.66,56.33,3.07,59.84,1151,1024
Effluent,4.28,1.39,6.28,56.33,3.07,52.87,886,1192
Effluent,21.36,20.39,2.31,56.33,3.07,57.5,1158,448
Effluent,7.55,5.03,7.29,56.33,3.07,39.37,559,915
Effluent,5.48,2.73,7.06,56.33,3.07,50.03,822,1383
Effluent,24.57,23.96,9.65,56.33,3.07,36.7,647,1669
Effluent,12.15,10.14,7.95,56.33,3.07,36.5,526,1006
Effluent,4.73,1.89,6.24,56.33,3.07,45.08,684,754
Effluent,14.74,13.02,2.66,56.33,3.07,44.38,754,207
Effluent,24.59,23.99,10.05,56.33,3.07,31.18,501,1532
Effluent,7.13,4.56,7.05,56.33,3.07,37.29,500,718
Effluent,24.6,23.99,10.09,56.33,3.07,30.39,480,1505
Effluent,4.23,1.34,5.81,56.33,3.07,50.69,828,918
Effluent,6.34,3.69,3.45,56.33,3.07,45.89,719,496
Effluent,4.86,2.04,3.81,56.33,3.07,52.21,873,856
Effluent,16.13,14.57,2.57,56.33,3.07,51.1,943,482
Effluent,16.11,14.55,2.58,56.33,3.07,45.89,806,223
Effluent,16.01,14.44,2.56,56.33,3.07,53.96,1017,632
Effluent,24.59,23.99,10.05,56.33,3.07,29.67,461,1444
Effluent,10.27,8.05,3.0,56.33,3.07,41.57,640,207
Effluent,13.1,11.21,2.72,56.33,3.07,50.95,912,590
Effluent,6.64,4.02,3.3,56.33,3.07,49.81,825,688
Effluent,6.2,3.52,6.21,56.33,3.07,35.8,452,267
Effluent,17.71,16.33,2.48,56.33,3.07,56.31,1094,668
Effluent,14.43,12.68,2.65,56.33,3.07,51.72,944,583
Effluent,7.18,4.62,3.19,56.33,3.07,52.1,890,794
Effluent,6.92,4.33,6.28,56.33,3.07,33.62,401,190
Effluent,4.0,1.08,6.05,56.33,3.07,58.89,1043,1435
Effluent,12.47,10.51,8.07,56.33,3.07,40.92,646,1273
Effluent,13.87,12.06,2.72,56.33,3.07,43.58,725,200
Effluent,4.1,1.19,4.85,56.33,3.07,55.43,952,1067
Effluent,10.23,8.01,2.99,56.33,3.07,41.85,647,221
Effluent,12.22,10.22,8.1,56.33,3.07,46.15,782,1558
Effluent,17.15,15.71,2.51,56.33,3.07,56.8,1102,723
Effluent,7.15,4.58,7.03,56.33,3.07,36.94,491,692
Effluent,6.9,4.31,6.24,56.33,3.07,33.59,400,172
Effluent,4.92,2.11,6.86,56.33,3.07,51.77,863,1394
Effluent,14.22,12.44,2.66,56.33,3.07,53.01,976,656
Effluent,5.37,2.6,6.99,56.33,3.07,49.01,794,1299
Effluent,6.39,3.74,7.08,56.33,3.07,41.66,609,949
Effluent,5.76,3.03,7.07,56.33,3.07,46.72,737,1208
Effluent,15.38,13.74,2.63,56.33,3.07,43.97,749,161
Effluent,5.38,2.62,7.12,56.33,3.07,54.37,936,1640
Effluent,15.17,13.51,2.59,56.33,3.07,60.07,1170,981
Effluent,5.3,2.52,6.52,56.33,3.07,41.82,603,707
Effluent,4.35,1.47,6.25,56.33,3.07,50.88,834,1071
Effluent,12.47,10.5,2.81,56.33,3.07,43.03,698,219
Effluent,24.59,23.99,10.01,56.33,3.07,34.88,599,1721
Effluent,24.34,23.71,9.18,56.33,3.07,33.42,558,1361
Effluent,5.46,2.7,6.65,56.33,3.07,41.76,603,763
Effluent,14.26,12.49,2.65,56.33,3.07,54.63,1019,737
Effluent,6.1,3.41,7.14,56.33,3.07,45.47,707,1170
Effluent,6.69,4.07,7.3,56.33,3.07,45.56,715,1236
Effluent,15.94,14.36,2.56,56.33,3.07,57.94,1121,839
Effluent,7.88,5.4,6.99,56.33,3.07,33.96,419,534
Effluent,8.64,6.24,7.76,56.33,3.07,51.9,901,1727
Effluent,18.74,17.48,2.45,56.33,3.07,49.98,937,284
Effluent,19.31,18.11,2.42,56.33,3.07,49.67,934,230
Effluent,24.21,23.56,9.1,56.33,3.07,27.58,402,1017
Effluent,8.88,6.5,7.38,56.33,3.07,35.39,466,756
Effluent,22.67,21.85,2.23,56.33,3.07,58.53,1197,311
Effluent,24.57,23.96,9.69,56.33,3.07,33.42,560,1500
Effluent,20.79,19.76,2.34,56.33,3.07,55.67,1105,414
Effluent,14.36,12.61,2.67,56.33,3.07,46.56,808,328
Effluent,11.66,9.6,2.88,56.33,3.07,41.89,661,188
Effluent,16.59,15.09,2.55,56.33,3.07,47.74,859,292
Effluent,12.4,10.43,2.73,56.33,3.07,60.2,1149,1085
Effluent,24.59,23.99,10.06,56.33,3.07,29.93,468,1464
Effluent,4.96,2.15,3.53,56.33,3.07,63.1,1161,1427
Effluent,24.59,23.98,9.84,56.33,3.07,31.22,502,1436
Effluent,24.6,23.99,10.47,56.33,3.07,28.53,431,1602
Effluent,16.06,14.49,2.56,56.33,3.07,56.03,1072,736
Effluent,17.09,15.64,8.45,56.33,3.07,44.17,775,1637
Effluent,5.1,2.3,6.62,56.33,3.07,44.5,672,893
Effluent,4.73,1.89,6.24,56.33,3.07,45.0,682,750
Effluent,14.22,12.45,2.7,56.33,3.07,43.11,716,165
Effluent,9.77,7.5,7.55,56.33,3.07,35.19,469,805
Effluent,4.54,1.68,6.03,56.33,3.07,46.36,716,746
Effluent,4.01,1.1,6.23,56.33,3.07,60.93,1097,1614
Effluent,4.93,2.11,6.29,56.33,3.07,43.27,638,677
Effluent,4.46,1.59,5.9,56.33,3.07,47.03,733,744
Effluent,10.82,8.66,2.96,56.33,3.07,40.7,622,153
Effluent,24.58,23.97,9.76,56.33,3.07,35.07,604,1621
Effluent,18.5,17.21,2.45,56.33,3.07,52.46,1000,425
Effluent,4.59,1.74,6.79,56.33,3.07,56.31,980,1608
Effluent,5.97,3.27,7.3,56.33,3.07,54.73,951,1724
Effluent,5.69,2.96,6.99,56.33,3.07,45.23,697,1097
Effluent,16.75,15.27,2.56,56.33,3.07,44.61,778,129
Effluent,4.8,1.97,5.76,56.33,3.07,42.75,623,479
Effluent,4.23,1.34,6.22,56.33,3.07,53.3,897,1190
Effluent,17.34,15.92,2.52,56.33,3.07,48.74,892,304
Effluent,4.38,1.5,6.37,56.33,3.07,51.62,854,1161
Effluent,9.53,7.23,7.8,56.33,3.07,45.77,747,1420
Effluent,5.28,2.51,6.09,56.33,3.07,39.82,550,422
Effluent,4.4,1.52,6.07,56.33,3.07,48.71,777,886
Effluent,10.34,8.13,2.89,56.33,3.07,53.18,946,780
Effluent,20.54,19.48,2.35,56.33,3.07,54.5,1072,377
Effluent,9.8,7.53,2.99,56.33,3.07,45.15,730,390
Effluent,5.9,3.19,7.26,56.33,3.07,53.02,905,1616
Effluent,15.4,13.76,2.58,56.33,3.07,60.98,1196,1019
Effluent,4.84,2.01,6.56,56.33,3.07,46.74,729,986
Effluent,3.99,1.07,4.94,56.33,3.07,58.53,1033,1241
Effluent,13.28,11.4,2.68,56.33,3.07,59.79,1146,1036
Effluent,24.6,23.99,10.43,56.33,3.07,30.95,495,1718
Effluent,17.74,16.37,2.5,56.33,3.07,48.26,883,258
Effluent,4.27,1.38,6.61,56.33,3.07,59.97,1074,1728
Effluent,5.19,2.4,6.98,56.33,3.07,51.23,851,1413
Effluent,6.07,3.38,6.47,56.33,3.07,37.13,486,442
Effluent,4.29,1.4,6.34,56.33,3.07,53.47,902,1252
Effluent,6.2,3.53,6.42,56.33,3.07,36.4,468,387
Effluent,4.26,1.37,6.0,56.33,3.07,50.83,832,977
Effluent,18.67,17.39,2.44,56.33,3.07,55.83,1090,587
Effluent,23.61,22.89,8.91,56.33,3.07,28.47,420,1022
Effluent,4.58,1.72,3.95,56.33,3.07,54.34,927,978
Effluent,18.83,17.57,2.44,56.33,3.07,52.77,1011,420
Effluent,14.07,12.29,8.24,56.33,3.07,44.17,747,1521
Effluent,4.46,1.59,4.07,56.33,3.07,54.61,933,997
Effluent,12.56,10.6,2.77,56.33,3.07,48.36,839,477
Effluent,5.44,2.68,6.69,56.33,3.07,42.38,619,815
Effluent,8.02,5.55,3.02,56.33,3.07,62.92,1182,1339
Effluent,8.53,6.11,7.37,56.33,3.07,36.46,491,801
Effluent,17.29,15.87,2.5,56.33,3.07,58.96,1160,827
Effluent,10.77,8.61,2.9,56.33,3.07,46.99,787,458
Effluent,4.88,2.06,6.92,56.33,3.07,54.58,937,1569
Effluent,4.47,1.61,6.58,56.33,3.07,53.18,896,1342
Effluent,16.97,15.51,2.52,56.33,3.07,52.03,975,489
Effluent,12.79,10.85,2.74,56.33,3.07,51.71,929,638
Effluent,8.31,5.87,7.6,56.33,3.07,44.61,705,1290
Effluent,7.13,4.56,7.05,56.33,3.07,37.29,500,718
Effluent,4.62,1.77,6.51,56.33,3.07,49.2,792,1095
Effluent,20.96,19.94,8.63,56.33,3.07,28.91,407,932
Effluent,12.69,10.75,2.8,56.33,3.07,42.27,680,176
Effluent,22.76,21.95,2.23,56.33,3.07,57.55,1172,243
Effluent,5.43,2.67,6.93,56.33,3.07,46.49,728,1139
Effluent,16.91,15.44,2.53,56.33,3.07,49.54,909,366
Effluent,24.5,23.89,9.4,56.33,3.07,29.02,443,1165
Effluent,3.99,1.07,5.71,56.33,3.07,57.01,993,1241
Effluent,4.69,1.84,5.79,56.33,3.07,43.89,652,546
Effluent,22.47,21.63,8.76,56.33,3.07,34.76,576,1320
Effluent,11.07,8.94,2.85,56.33,3.07,49.93,867,597
Effluent,6.31,3.64,7.23,56.33,3.07,46.6,739,1265
Effluent,17.6,16.2,2.51,56.33,3.07,45.69,814,138
Effluent,21.77,20.85,2.29,56.33,3.07,55.53,1110,297
Effluent,19.72,18.57,2.4,56.33,3.07,49.76,940,204
Effluent,5.73,3.01,6.61,56.33,3.07,39.63,549,635
Effluent,3.85,0.91,5.63,56.33,3.07,63.71,1169,1596
Effluent,4.6,1.75,6.78,56.33,3.07,55.7,964,1570
Effluent,5.24,2.45,3.5,56.33,3.07,58.35,1038,1166
Effluent,5.39,2.63,3.81,56.33,3.07,45.48,700,497
Effluent,18.22,16.9,2.46,56.33,3.07,55.26,1071,585
Effluent,17.83,16.46,8.46,56.33,3.07,36.43,577,1232
Effluent,13.89,12.08,2.7,56.33,3.07,46.5,802,342
Effluent,16.95,15.49,2.55,56.33,3.07,43.13,741,47
Effluent,5.03,2.23,6.76,56.33,3.07,47.58,753,1124
Effluent,8.77,6.39,7.59,56.33,3.07,40.83,609,1092
Effluent,8.42,6.0,7.26,56.33,3.07,35.13,455,699
Effluent,17.63,16.24,2.48,56.33,3.07,59.88,1187,856
Effluent,4.03,1.11,5.54,56.33,3.07,55.45,952,1126
Effluent,4.95,2.13,6.64,56.33,3.07,46.51,724,1012
Effluent,12.21,10.22,2.8,56.33,3.07,46.57,789,399
Effluent,21.4,20.43,2.31,56.33,3.07,54.48,1079,289
